Service ID,Category ID,Type,Name (ES),Name (FR),Calculation Method,Recommendation
T-187,C-029,truly_zero,Exportación madera rollizo,Exportation de bois rond,fixed_both,Marquer comme gratuit (is_free=true)
T-188,C-029,truly_zero,Exportación madera aserrada,Exportation de bois scié,fixed_both,Marquer comme gratuit (is_free=true)
T-197,C-031,truly_zero,Autorización de importación de mercancía,Autorisation d'importation de marchandises,fixed_both,Marquer comme gratuit (is_free=true)
T-198,C-031,truly_zero,Facturas visadas en las sedes diplomáticas,Factures visées dans les missions diplomatiques,fixed_both,Marquer comme gratuit (is_free=true)
T-199,C-031,truly_zero,Facturas no visadas en las sedes diplomáticas OK,Factures non visées dans les missions diplomatiques OK,fixed_both,Marquer comme gratuit (is_free=true)
T-200,C-031,truly_zero,Facturas no visadas en las sedes diplomáticas NOK,Factures non visées dans les missions diplomatiques NOK,fixed_both,Marquer comme gratuit (is_free=true)
T-289,C-039,truly_zero,Por cada premio,Par prix,fixed_both,Marquer comme gratuit (is_free=true)
T-293,C-039,truly_zero,Autorizaciones para visita turística nativos. Por persona y para 7 días,Autorisations pour visite touristique locaux. Par personne et pour 7 jours,fixed_both,Marquer comme gratuit (is_free=true)
T-358,C-047,truly_zero,Matricula Enseñanza Primaria,Inscription à l'enseignement primaire,fixed_both,Marquer comme gratuit (is_free=true)
T-488,C-074,truly_zero,Compra productos 1ª,Achat produits 1ère catégorie,fixed_both,Marquer comme gratuit (is_free=true)
T-489,C-074,truly_zero,Compra productos2ª,Achat produits 2ème catégorie,fixed_both,Marquer comme gratuit (is_free=true)
T-490,C-074,truly_zero,Compra productos 3ª,Achat produits 3ème catégorie,fixed_both,Marquer comme gratuit (is_free=true)
T-491,C-074,truly_zero,Abacería,Épicerie,fixed_both,Marquer comme gratuit (is_free=true)
T-515,C-078,truly_zero,Regalía sobre el volumen de explotación industrial de canteras por m3,Redevance sur le volume d'exploitation industrielle de carrières par m3,fixed_both,Marquer comme gratuit (is_free=true)
T-517,C-078,truly_zero,Canon de arrendamiento de superficie/ exploración,Redevance de location de surface/exploration,fixed_both,Marquer comme gratuit (is_free=true)
T-518,C-078,truly_zero,Producción,Production,fixed_both,Marquer comme gratuit (is_free=true)
T-523,C-079,truly_zero,Plataforma o /barco de perforación de (1 - 3 meses),Plateforme ou navire de forage de (1 - 3 mois),fixed_both,Marquer comme gratuit (is_free=true)
T-524,C-079,truly_zero,Permiso de investigación en general,Permis de recherche général,fixed_both,Marquer comme gratuit (is_free=true)
T-525,C-079,truly_zero,Bono a la firma del contrato minero,Prime à la signature du contrat minier,fixed_both,Marquer comme gratuit (is_free=true)
T-526,C-079,truly_zero,Bono de declaración,Prime de déclaration,fixed_both,Marquer comme gratuit (is_free=true)
T-527,C-079,truly_zero,Canon de arrendamiento contractual de superficie,Redevance contractuelle de location de surface,fixed_both,Marquer comme gratuit (is_free=true)
T-528,C-079,truly_zero,Durante al periodo de explotación USD/Ha,Pendant la période d'exploitation USD/Ha,fixed_both,Marquer comme gratuit (is_free=true)
T-610,C-090,truly_zero,Denuncia,Plainte,fixed_both,Marquer comme gratuit (is_free=true)
T-616,C-091,truly_zero,Exportación y reexportación por aparato equipo de sistema,Exportation et réexportation par appareil système,fixed_both,Marquer comme gratuit (is_free=true)
T-909,C-101,truly_zero,Camiones de 10 a 14 Vehículos muy pesados (Camiones cargados),Camions de 10 à 14 Véhicules très lourds (Camions chargés),fixed_both,Marquer comme gratuit (is_free=true)
